Word,Hits,Non-hits,Total,Hit Rate
cloud,32,18,50,0.64
conserv,24,26,50,0.48
price,29,71,100,0.29
member,54,46,100,0.54
import,14,36,50,0.28
number,37,63,100,0.37
major,56,44,100,0.56
murder,0,50,50,0.0
bring,5,45,50,0.1
death,14,36,50,0.28
singl,18,32,50,0.36
work,25,25,50,0.5
not,0,0,0,0.0
involv,0,0,0,0.0
south,22,28,50,0.44
women,29,21,50,0.58
histori,0,50,50,0.0
wait,28,22,50,0.56
mean,5,45,50,0.1
wrong,30,20,50,0.6
later,0,0,0,0.0
follow,33,17,50,0.66
growth,10,40,50,0.2
servic,45,55,100,0.45
build,39,61,100,0.39
staff,33,17,50,0.66
close,10,40,50,0.2
gener,21,29,50,0.42
anyth,0,50,50,0.0
westminst,33,17,50,0.66
affect,11,39,50,0.22
accus,0,0,0,0.0
parliament,32,18,50,0.64
through,19,31,50,0.38
arrest,20,30,50,0.4
chang,0,0,0,0.0
game,14,36,50,0.28
inquiri,37,13,50,0.74
between,26,24,50,0.52
obama,29,21,50,0.58
eastern,23,27,50,0.46
immigr,33,17,50,0.66
western,38,12,50,0.76
fight,56,44,100,0.56
massiv,21,29,50,0.42
social,27,23,50,0.54
[MASK],0,0,0,0.0
